,fecha,likes,nota_id,nota_url,respuestas,texto,usuario,es_respuesta
36754,18:05 09/10/2018,1.0,474,https://www.lanacion.com.ar/2180061-guillermo-moreno-roberto-navarro-sos-idiota-util,1,No dar bola a discusiones de estas bestias korruptas que lo unico que saben hacer es de felpudos de la jefa nafiosa,MabelZunino,False
36772,17:53 09/10/2018,4.0,474,https://www.lanacion.com.ar/2180061-guillermo-moreno-roberto-navarro-sos-idiota-util,1,No. En el jaula de las bestias brutas,MabelZunino,False
36792,19:41 09/10/2018,3.0,475,https://www.lanacion.com.ar/2180053-la-oposicion-convoca-sesion-anular-aumento-gas,0,"......TODO ESTE CIRCO ES PARA  DARLE,, LETRA A LA GGlllllLLLLAAADDAAA  ,,SON TAN BESTIAS Q' SABEN COMO DEFENDERSE SOLOS EN LA CALLE,.....Y SI NO LES DAN LETRA ESTAN FRITOS,........................",pcanoero,False
36901,19:17 09/10/2018,,475,https://www.lanacion.com.ar/2180053-la-oposicion-convoca-sesion-anular-aumento-gas,0,"@cserrano5 @mbetuska no digas  estupideces. cobarde.....  estas pidiendo perdón ahora,   gil....  te repito, el foro no es patente de corso, no podes decir cualquier cosa, pedazo de  animal, bestia... y además, no es un muro impenetrable... es facil  levantar la identida, de bestias como vos....  ",mbetuska,True
40800,21:14 11/10/2018,3.0,533,https://www.lanacion.com.ar/2180920-procesan-cupula-camioneros-extorsion,0,Pensar que hay bestias de éstas que ganan más que un investigador del Balseiro !! Cómo para que haya inversiones.,juanalacuerda,False
42762,23:45 12/10/2018,,563,https://www.lanacion.com.ar/2181169-sobresueldos-casacion-confirmo-condena-cuatro-anos-medio,0,Sres Jueces.........Metan Presos ... PERONISTAS... (de la era Menem).... basta de Maria Julias... para la Perrada P.....    Cavallo... Podra ser cualquier cosa... Pero todos saben vivio de lo suyo.... No afano lo que TODOS... sabemos afano la escoria eterna.. que gobernó por 70 años... y que sigue Jod....,radioperador,False
45424,21:48 14/10/2018,,618,https://www.lanacion.com.ar/2181728-macri-no-se-transforma-pais-noche-manana,0,"Tengo un amigo de 64 años, muy buen tipo, simpático, inteligente y vivo para lo que le gusta, totalmente honesto, moralmente incapaz de estafar a nadie. Lo conozco desde hace 34 años. Es hijo de una española de La Coruña y un inmigrante francés hijo de un general de la primera guerra, profesional, que llegó a tener un puesto bastante alto en la municipalidad de Bs As. Siempre vivió en la casa de sus padres, en un buen barrio de la Ciudad, junto con una hermana casada y con 3 chicos. Nunca tuvo que pagar ni el alquiler, ni la luz, ni el gas, ni el teléfono, ni el ABL, ni el seguro médico, y creo que ni la comida. Hizo una escuela secundaria de artes y oficios medio berreta. Lo más complejo que leyó fue Asimov. De joven se dedicó a comprar y vender discos en el Parque Rivadavia. Entre sus 18 y 28 trabajó con su cuñado, que tenía un tallercito de electrónica en el fondo de la casa. El hacía el trabajo más elemental de armar casi sin entender. Después puso una disquería de rarezas con un socio y durante unos años le fue relativamente bien. Hizo unos cuantos amigos bohemios para no decir vagos y chantas casi todos. Mucho café, mucho pool, mucha charla sobre rock & roll. Durante los primeros 80 se llevó a la novia a vivir a su casa. A mediados se separó y fue de vacaciones varias veces a Brasil. Se juntó con una mina 12 años mayor, uruguaya, peluquera, rubia teñida, corpulenta, caderuda, que usaba calzas de leopardo y tenía una hija medio lesbiana y medio tgola, con la que alquiló un departamento en el centro. Después de unos 7 años se separó, volvió a la casa de los padres. Durante un par de años tuvo una novia linda y “seria”, profesional, medio histérica. La importación le fundió la disquería. Se separó. Su padre murió grande. Su madre vivió con una buena pensión por su marido, nunca le faltó nada. Nadie de la familia se enfermó gravemente. Tuvo otras novias, y otros trabajos poco calificados, salvo durante unos meses en los que trabajó, acomodado por un amigo, manejando personal en una empresa que instalaba redes de agua en el conurbano. 
Siempre se quejó de que, cuando trabajó para su cuñado, este le pagaba muy poco, de que lo engañó con promesas de progreso que nunca llegaron, y de que le ocupó una gran parte de la casa y no le dejó espacio para sus cosas, todo lo cual yo sé que era cierto. (También es cierto que Alberto no aprovechó ciertos espacios más que suficientes para empezar). “Si yo no me hubiese quedado laburnado con este, a lo mejor hubiese conseguido laburo en la Philips y habría hecho carrera..."", repite Alberto cada tanto para explicar su decadencia. 
Hace 23 años se puso a trabajar de electricista domiciliario independiente, y zafaba con eso. 
Llegó a los 58 años sin haber formado familia, sin haber estudiado, sin haber hecho carrera en algún empleo, sin haberse profesionalizado en su oficio, viviendo con lo justo, sin haber ahorrado un mango. (Yo también trabajo como electricista desde hace 22 años, empecé desde mucho más abajo que él, me va razonablemente bien para ser un tipo sin familia que mantener, pago alquiler desde hace 26 años, tengo auto desde hace 18 años, y ahorro)
Hace 8 años murió su madre, la casa se vendió, el dinero se repartió entre los hermanos, y a él le quedaron 120 lucas verdes. Con 70 se compró un pequeño depto. en perfectas condiciones bien ubicado. 
Con las 50 lucas restantes… se compró un reproductor portátil de DVD, un TV plano, una cantidad de rieles, ménsulas, y estanterías para fijar a la pared, los pisos para cambiarle al depto. porque los que tenía no le gustaban aunque estaban perfectos, se fue 20 días a Brasil a visitar unas amigas, 2 semanas a Córdoba con otra amiga, 1 semana a conocer el tren de las nubes con un amigo...
Necesitaba un auto, realmente indispensable para su trabajo. Con la guita que tenía pudo comprarse 10. Se compró una motito de wachiturro, aun a sabiendas de que no le iba a servir para trabajar. “A mi me gusta el free style”, dijo cuando yo le hice notar que la moto no le iba a servir.
Hoy, 2018, el depto. está peor que al día siguiente de haberse mudado, con todas las cosas tiradas en el suelo, acumuladas hasta llenar el patio, las 2 habitaciones, la cocina, y el pequeño pasillo que une todo. No ordenó nada y encima juntó más porquerías. No se puede ni abrir la puerta. (El se quejaba de que su cuñado le había quitado el espacio en la casa de sus padres. Ahora que el cuñado no está, el espacio se lo quita él mismo).",Sergio115,False
46994,08:23 15/10/2018,6.0,636,https://www.lanacion.com.ar/2181776-despues-de-10-anos-se-va-el-barco-que-le-costo-al-pais-us1200-millones,0,"Hoy hay visitas en el penal de Marcos Paz para ver a Devido , quien se anota? la esposa dice que Julio comparte su celda con ratas todas las noches. Mi solidaridad con los roedores no se merecen convivir con semejante escoria",alapipeta4,False
47128,21:59 15/10/2018,1.0,638,https://www.lanacion.com.ar/2181980-a-65-anos-murio-paul-allen-uno,0,Quiénes son las bestias que traducen estos articulos? “Linfoma no relacionado con la enfermedad de hosgkin” es simplemente “linfoma no hodgkin”,jj.r6559,False
48780,18:44 15/10/2018,,651,https://www.lanacion.com.ar/2181893-el-macrismo-sale-caza-nuevos-militantes-prepara,0,@cborja @JamesJohnJoyce gano Hillary........mamita que tremendos bestias que hay en este foro,gguasoncito1,True
49340,17:29 15/10/2018,3.0,656,https://www.lanacion.com.ar/2181896-salio-bailar-lo-mataron-delicuentes-caballo,0,@-predator sos un hijo de mala madre. Escoria.,smr1967,True
50371,23:11 16/10/2018,,678,https://www.lanacion.com.ar/2182331-luis-carzoglio-no-me-van-correr-aprietes,0,"@Martiniano1991 @fcab1 es entendible, pero si todos nos vamos quien les da pelea a estas bestias",fcab1,True
50392,23:03 16/10/2018,2.0,678,https://www.lanacion.com.ar/2182331-luis-carzoglio-no-me-van-correr-aprietes,0,"Los cimarrones saltaban y gritaban, son ignorantes hasta cuando los afanan ",nesfer24,False
51014,21:10 16/10/2018,1.0,678,https://www.lanacion.com.ar/2182331-luis-carzoglio-no-me-van-correr-aprietes,0,En cana todos estos marrones,Dreamwever,False
51760,20:36 16/10/2018,2.0,680,https://www.lanacion.com.ar/2182302-moyano-celebro-fallo-del-juez-desafia-ahora,0,No salen de sus mansiones sin estar rodeados de heladeras marrones que los custodian... por qué será?... por trigo limpio seguro que no!!,Ossie_Mu,False
51800,20:31 16/10/2018,2.0,680,https://www.lanacion.com.ar/2182302-moyano-celebro-fallo-del-juez-desafia-ahora,0,"Ya no quedan dudas que en Argentina se libra una guerra racial.

El excremento de piel marrón no quiere aceptar que se acabó la extorsión y parasitismo con el que recibieron a los blancos europeos desde 1870...

El peronismo no es más que la guerra silenciosa de la escoria indocriolla contra la raza blanca que construyó TODO en Argentina.

Si no se reacciona ahora, estará todo perdido.

Como dijo Sarmiento, tiene que correr sangre de homínidos si queremos construir una repúlblica basada en leyes.",Fela_Kuti,False
52362,21:42 17/10/2018,,693,https://www.lanacion.com.ar/2182679-coloquio-idea-presencia-figuras-economia-politica-comienza,0,"El presidente Macri está demostrando una gran ignorancia en todo,incluido Historia. Por ejemplo, en el tema KAMIKAZES. Desde la 2da. Guerra mundial que no hay kamikazes japoneses.Sin embargo,hace unos días,le expresó su malestar al embajador japonés en Argentina porque las inversiones japonesas prometidas no habían llegado.Un consejo al presidente:¿por qué no vuelve a insistir mostrándole al embajador japonés el fallo de hoyde la injusticia argenta ratificando las facultades extraordinarias de laAFIP para suspender la CUIT?Macri debe AGRADECERLE al embajador japonés que con las barbaridades tributarias que están haciendo las empresas japonesas que hoy están NO HUYAN.
Adjunto link del fallo de  las bestias de los jueces

https://www.cronista.com/economiapolitica/AFIP-consiguio-via-libre-judicial-para-suspender-la-CUIT-20181017-0021.html",rebelionfiscal,False
54239,22:28 17/10/2018,1.0,708,https://www.lanacion.com.ar/2182714-maria-eugenia-vidal-coloquio-idea-el-cambio,0,"¿ahora se acuerdan que necesitan a las empresas para mantener el empleo?  ¿no pudieron pensarlo antes de sancionar la ley terrorista tributaria terrorista 27430, y entre otras barbaridades de esa ley,  su nefasto artículo 189 hoy ratificado por los bestias de la Cámara en lo Contencioso Administrativo Federal, que autoriza a la AFIP a suspender la CUIT,  engendro que ni siquiera debería existir?   ¿en qué nube vive esta mujer?  en una de p2  o en la de Oort?",rebelionfiscal,False
54319,21:49 17/10/2018,1.0,708,https://www.lanacion.com.ar/2182714-maria-eugenia-vidal-coloquio-idea-el-cambio,6,"Cínica e ignorante.  Tendría que haber dicho   ""necesitamos a los empresarios para seguir saqueándolos"". ¿Acaso ignora la gobernadora que su Provincia es el reino del terrorismo fiscal?  ¿La gobernadora en persona acaso no RATIFICÓ A TODO EL EQUIPO TERRORISTA DE ARBA DEL SCIOLISMO,  desde el último vago hasta su jefe, Fossati?   ¿se enteró la gobernadora del fallo, hoy de la Cámara en lo Contencioso Administrativo Federal ratificando el artículo 189 de la ley terrorista fiscal 27430,  que le permite a los animales de la AFIP suspender la CUIT y privar de todos los derechos y capacidad de trabajo a cualquier contribuyente?     Sólo los sostiene el miedo de la clase media a Cristina,  porque si no hoy tendrían a toda la gente en las calles contra Ustedes,  manga de bestias. ",rebelionfiscal,False
