,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity,caracteres,caracteresSE
58717,True,20:24 20/10/2018,2.0,798,0.0,Al gato hay que cortarle la cola y las uñas así a la primera no la mueve cuando ve a Lagarde y a las uñas para seguir robando.,https://www.lanacion.com.ar/2183662-el-oficialismo-tiene-mayoria-ajustada-aprobar-presupuesto,solotango,Gabriel Sued,Política,El oficialismo tiene una mayoría ajustada para aprobar el presupuesto en Diputados,0.26877007,0.25318956,126,99
31812,True,18:35 08/10/2018,5.0,443,0.0,"@jmjf2364 Jaja, lenta, segura y estrepitosa caida. De la porota y sus crios con el resto de la banda.",https://www.lanacion.com.ar/2179723-confirman-procesamiento-cristina-kirchner-sus-hijos-causa,sil2012,,Política,Confirman el procesamiento de Cristina Kirchner y sus hijos en la causa Hotesur,0.20452355,0.2529711,101,83
29222,False,18:59 07/10/2018,1.0,412,1.0,"Porota quiere afanar otra vez en 2019, sus cucas satisfechas ",https://www.lanacion.com.ar/2179413-elisa-carrio-macri-va-tener-elegir-pero,nesfer24,,Política,"Elisa Carrió aclara que no romperá con Cambiemos, pero insiste con que ""la impunidad no es negociable""",0.17265546,0.25225803,61,51
30599,True,00:43 09/10/2018,,427,1.0,@Lups56 SI LO SABRÁ POROTA,https://www.lanacion.com.ar/2179728-iguacel,lcow0134,Sofía Diamante,Economía,La boleta de gas tendrá un aumento adicional de $90 por mes por la suba del dólar,0.17593013,0.24937384,26,22
3983,True,23:23 25/09/2018,3.0,52,0.0,@turines Ud. no decía nada cuando LA POROTA  mostraba el tafanario bailando  en cada acto ...tampoco decía nada cuando volaban los BOLSOS CON DOLARES ..POR QUE NO SE CALLA ...si puede .,https://www.lanacion.com.ar/2175513-en-onu-macri-dijo-denunciara-al-regimen,josevar,Rafael Mathus Ruiz,Política,"En la ONU, Macri dijo que denunciará al régimen de Maduro ante la Corte de La Haya",0.16728110000000002,0.24806435,185,152
33187,True,23:57 09/10/2018,4.0,471,0.0,@amazona2 @ghriva @tmcdonnell jajaja peronia es hermoso. ,https://www.lanacion.com.ar/2180135-lorenzetti-acuso-rosenkrantz-generar-clima-tension-temor,ghriva,,Política,"Lorenzetti le contestó a Rosenkrantz: habló de ""mediocridad"" y de generar un ""clima de tensión y temor""",0.14351618,0.24697618,57,50
35209,False,18:59 09/10/2018,1.0,475,16.0,"El gato esta mañana estaba como desaforado en el acto de inauguración de un pavimento ya pavimentado...  como loquito, claro, sigue sin llegar los 7.000 millones de dolares prometidos del FMI,.. pero  lo que mas me llamó la atención es el vestido ""acampanado"" y color loro que se puso la chica de Castelar....¿quien la asesora? ¿un K?",https://www.lanacion.com.ar/2180053-la-oposicion-convoca-sesion-anular-aumento-gas,mbetuska,Gabriel Sued,Política,La oposición convoca a una sesión para anular el aumento en el gas,0.21099511,0.24617226,334,276
11582,False,21:37 29/09/2018,3.0,178,0.0,ehh... Porota.... ¿cómo andás de la SIGMOIDITIS? ... ja jaaaaaaaaaaaaaaaaaaa ... TIC... TIC... TIC...,https://www.lanacion.com.ar/2176929-fito-paez-hablo-kirchnerismo-nueva-york-nunca,FirthOfFifth,,Sociedad,"Fito Páez habló sobre el kirchnerismo en Nueva York: ""Nunca pertenecí a ese movimiento""",0.16347978,0.24612708,101,88
65231,True,14:39 23/10/2018,,891,0.0,@rbalsells viene un Bolsonaro y se los lleva puestos al Cat y a Porota... y en 1ra!!!!!!!,https://www.lanacion.com.ar/2184454-mauricio-macri-agradecio-quienes-le-pusieron-hombro,evigb08,,Política,"Mauricio Macri agradeció a quienes ""le pusieron el hombro a semejante depreciación de la moneda""",0.23697287,0.24556728,89,73
976,False,01:12 25/09/2018,4.0,21,3.0,VIOLENCIA...ES MENTIR GATO,https://www.lanacion.com.ar/2175272-mauricio-macri-lagarde-cena-gala-wall-street,ccmaxima,Rafael Mathus Ruiz,Política,Mauricio Macri saludó a Trump y cenó junto Lagarde en su gran agasajo en Wall Street,0.26183012,0.24536096,26,24
