,cantidad,keyword,toxicity
414,1,Rock,0.15400684
481,1,Tarjeta SUBE,0.2032428506415095
482,1,La amenaza de Estado Islámico,0.3835852
477,1,José María López,0.06111586
413,1,Janet Jackson,0.15400684
421,1,Daniel Orsanic,0.14571310663636367
479,1,ARBA,0.2565935512507987
409,1,Brad Pitt,0.24079574999999998
410,1,La Casa de las Flores,0.052343361
478,1,Déficit fiscal,0.2565935512507987
449,1,Scarlett Johansson,0.3166452
422,1,ITF,0.14571310663636367
423,1,Facundo Díaz Acosta,0.14571310663636367
461,1,El caso Milagro Sala,0.32243679497297295
436,1,robo de celulares,0.21975398361933307
437,1,Masters 1000 de Shanghai,0.28891242684693885
438,1,Juan Martín del Potro,0.28891242684693885
439,1,Borna Coric,0.28891242684693885
442,1,pymes,0.19839134600000005
457,1,Eduardo Coudet,0.2672628672142857
455,1,Natación,0.17144989807692307
454,1,Gabriel Jesús,0.131406305
445,1,Gastronomía,0.19843630510169494
446,1,Argentina,0.22805009018666672
447,1,Nueva York,0.159430635046875
448,1,Marvel,0.3166452
451,1,Esquel,0.2558555150512821
486,1,Estado Islámico,0.3835852
435,1,Celulares,0.21975398361933307
434,1,Ecología,0.15128144881509437
433,1,Juan Pablo Schiavi,0.21204811670909085
468,1,Andrés Ibarra,0.2515183
471,1,Norberto Oyarbide,0.1995609579565217
424,1,Gerardo Werthein,0.2322834546666667
425,1,Finanzas,0.14622319611111112
426,1,Alberto Rodríguez Saá,0.22143318714285717
427,1,Alicia Kirchner,0.22143318714285717
428,1,Gildo Insfrán,0.22143318714285717
450,1,Esquí,0.2558555150512821
463,1,Milagro Sala,0.32243679497297295
429,1,Miguel Lifschitz,0.22143318714285717
467,1,Detrás de las palabras,0.2515183
430,1,Gustavo Bordet,0.22143318714285717
466,1,Auditoría General de la Nación,0.1743720011428571
465,1,Domingo Cavallo,0.24072292212980764
464,1,Tupac Amaru,0.32243679497297295
485,1,Irak,0.3835852
518,1,Paulo Dybala,0.20941206909090912
487,1,Unión Europea,0.19402364520000004
570,1,Newman,0.19863188
586,1,Felipe Solá,0.3140889164750001
585,1,Hugo Yasky,0.3140889164750001
584,1,Fernando Espinoza,0.3140889164750001
583,1,Emilio Monzó,0.23040828601639346
580,1,Joan Manuel Serrat,0.02895263
578,1,Londres,0.18745500276470586
577,1,Theresa May,0.18745500276470586
574,1,Regatas de Bella Vista,0.19863188
573,1,San Luis Rugby,0.19863188
572,1,Lomas Athletic,0.19863188
571,1,Alumni,0.19863188
569,1,Hindú,0.19863188
556,1,Conversaciones,0.3201470643636363
568,1,San Isidro Club,0.19863188
567,1,CUBA,0.19863188
566,1,CASI,0.19863188
565,1,Belgrano de Córdoba,0.19863188
564,1,Pucará,0.19863188
563,1,Dorados,0.345583384
562,1,Diego Maradona,0.345583384
561,1,San Martín de Tucumán,0.11917425600000002
560,1,Club Atlético Unión de Santa Fe,0.11917425600000002
559,1,Argentinos Juniors,0.11917425600000002
558,1,Club Atlético Huracán,0.11917425600000002
588,1,Verónica Magario,0.3140889164750001
589,1,Ricardo Pignanelli,0.2669744033727272
590,1,Enrique Peña Nieto,0.2980962162269734
591,1,La salud de los famosos,0.2892178565
617,1,Análisis,0.2154898132
616,1,Retenciones,0.2154898132
615,1,Rodrigo de la Serna,0.12882814211111113
614,1,Movistar Fri Music,0.14339408
613,1,Luca Prodan,0.14339408
612,1,Cataratas del Iguazú,0.2037813433333333
611,1,Europa,0.2037813433333333
610,1,Comodoro Rivadavia,0.2037813433333333
609,1,Puerto Madryn,0.2037813433333333
608,1,Ciudad de Mendoza,0.2037813433333333
607,1,Ciudad de Salta,0.2037813433333333
606,1,Jujuy,0.2037813433333333
605,1,Bariloche,0.2037813433333333
604,1,Tucumán,0.2037813433333333
603,1,Empleos,0.09214373857142856
602,1,Abuso de menores,0.29048186823529415
601,1,Ricardo Alfonsín,0.23312101851969702
600,1,Angelina Jolie,0.32515348
598,1,Ursula Corberó,0.32094315
595,1,DataViz,0.23428057192307694
594,1,Religión,0.23428057192307694
593,1,Hollywood,0.10521002
592,1,Soledad Fandiño,0.243037653
557,1,Miss Bolivia,0.3201470643636363
555,1,Intrusos,0.25737123508333337
488,1,Mercedes Morán,0.2739164774523809
506,1,Hoy en LA NACION,0.23541529429341865
520,1,Braian Toledo,0.09361036
404,1,Pablo Escobar,0.505963915
517,1,Leandro Paredes,0.20941206909090912
516,1,Antoine Griezmann,0.17760405
515,1,Joachim Low,0.17760405
514,1,Selección de Francia,0.17760405
513,1,Selección de Alemania,0.17760405
512,1,Presidente Perón,0.31827698856666664
509,1,Mirtha Legrand,0.007981066
508,1,Microsoft,0.1685536083
507,1,La historia de los lunes,0.23541529429341865
505,1,Bahía Blanca,0.23541529429341865
554,1,Jorge Rial,0.25737123508333337
503,1,Crisis energética,0.23541529429341865
502,1,El COI en Buenos Aires,0.24313075442500004
501,1,CBF,0.109276182
500,1,Rodolfo D´Onofrio,0.109276182
499,1,AFA,0.109276182
498,1,San Francisco,0.27668900316666667
496,1,cerveza,0.19733305014285715
495,1,Virales,0.19733305014285715
492,1,Teatro,0.058438856
491,1,Ópera,0.058438856
489,1,Nacha Guevara,0.2739164774523809
521,1,Turf,0.070022585
523,1,Kate Middleton,0.13919505
524,1,Carlos de Inglaterra,0.13919505
525,1,Meghan Markle,0.13919505
553,1,Ari Paluch,0.255220885137931
551,1,Teatro Colón,0.020036254
550,1,Comercio electrónico,0.086302005
548,1,Bienes Personales,0.1867292099428571
547,1,Caso Odebrecht,0.2779477575483872
546,1,Maratón,0.10005480100000001
544,1,Discriminación,0.1929478174333333
543,1,Diego Bossio,0.24079974624809447
542,1,Andrés Larroque,0.24079974624809447
541,1,Día de la Lealtad,0.24079974624809447
540,1,Jorge Todesca,0.2642734500084386
539,1,Guillermo Montenegro,0.2642734500084386
538,1,Ramiro Herrera,0.115521083
537,1,Mario Ledesma,0.115521083
536,1,Gira de Los Pumas,0.115521083
535,1,San Justo,0.173452355
5,1,Premios FIFA The Best,0.12375174327272727
533,1,Correo Argentino,0.23079088761428568
532,1,David Bisbal,0.49787763
531,1,Baby Boom,0.49787763
528,1,Osama Ben Laden,0.32957961
527,1,Emmanuel Macron,0.64542264
526,1,Príncipe William,0.13919505
405,1,Ricardo Gareca,0.505963915
349,1,Ciudad del Vaticano,0.45069337
403,1,Aerolíneas Argentinas,0.19875251742857147
206,1,Fórmula 1,0.15910507418181818
204,1,Cáncer de mama,0.21300937148333332
203,1,Golf,0.31558077500000004
202,1,Copa Ryder,0.31558077500000004
200,1,Fernando Verdasco,0.22902224413928568
199,1,El circuito ATP,0.22902224413928568
197,1,Salta,0.08431972
195,1,Martín Sabbatella,0.2877645255126354
194,1,Aníbal Fernández,0.2877645255126354
193,1,Fito Páez,0.2877645255126354
35,1,Banco Ciudad,0.22051905
188,1,San Juan,0.33678851011627886
185,1,Jorge Triaca,0.2231614607837838
182,1,Armando Cavalieri,0.2231614607837838
39,1,Lula preso,0.35688526196774206
42,1,Hugo Chávez,0.16553142104285712
174,1,Combustibles en la Argentina,0.104823412
172,1,Napoli,0.4251348
171,1,Juventus,0.4251348
170,1,Calcio,0.4251348
169,1,Gino Peruzzi,0.2153340249154929
168,1,Fernando Gago,0.2153340249154929
167,1,Club Atlético Colón de Santa Fe,0.2153340249154929
164,1,Manchester City,0.074864741
205,1,Serena Williams,0.21300937148333332
208,1,Cristian Fabbiani,0.2262875431111111
161,1,Juan Román Riquelme,0.24398952623529416
209,1,Selección de España,0.2262875431111111
250,1,Martín Benítez,0.24415586253866667
246,1,Paro de trenes,0.18891968631249997
244,1,Juan Manuel Abal Medina,0.23243086503846155
242,1,Autos y combustible,0.13051939906666668
241,1,Toyota,0.13051939906666668
240,1,Volkswagen,0.13051939906666668
239,1,Renault,0.13051939906666668
238,1,Autos,0.13051939906666668
234,1,Retiro,0.29051340080821914
231,1,Del Viso,0.23899252536923085
25,1,Santa Rosa,0.1808007222093024
226,1,La noche de Mirtha Legrand,0.25923120485000006
27,1,Supermercados,0.150869326
224,1,Marcelo Tinelli,0.2647904572289157
223,1,Juan Carlos Schmid,0.225823842967033
28,1,Shoppings,0.150869326
220,1,Crisis de la CGT,0.225823842967033
