,usuarios,comments
142,gguasoncito1,"@paca7612 AH NO ES PARA VOS?, CIERTO QUE VOS SOS AMARGO............"
143,gguasoncito1,"SEGUN MOYANO, DE VIDO, BODOU, EL PATA MEDINA, JAIME, LAZARO, MILANI, ESTECHE, SEGOVIA, TODOS ELLOS SON PRESOS POLITICOS.......ES DECIR LOS JUECES ERRARON EN CASI MAS DE 10 CAUSAS.......TIENE RAZON, FUNCIONA MUY MAL LA JUSTICIA QUE LO CONDENA A MOYANO Y A SUS HIJOS............"
144,ocaso64,"No es el gobierno don, es el poder judicial, lento como siempre con ustedes pero poder judicial al fin."
145,Rodoco,"Lo dijo Moyano : Esto es una ""distrasión"" para evitá que se vea la falta de esito del programa economico que esperimentamo en todo lo ordene de la nasion"" 
(y evitó decir: ""si me tocas al nene te meto otro paro"")"
146,fper7709,"Quiero ser sindicalista, pero si no llego a los 120 kg no me aceptan."
147,Rodoco,"@fper7709 No podes  , primero tenes que aprender a comerte las eses, ya como escribiste ese post, sin faltas de ortografía, estas ""afuera"" por oligarca.- "
148,gbarret,Si te dan las tripas para robarle a los trabajadores listo. Cuanto mas pobres mejor. Mas fácil.
149,Mehid2016,Tenes razón. La estamos pasando remal. Pero eso no tapa lo que son ustedes.
150,critico2010,@Mehid2016 Ni POR QUÉ la pasamos mal .------------
151,patito_feo_cuac,Espero que le saquen hasta el último centavo de plata malhabida a este clan mafioso.
152,juanjorgesalzman,Moyano Scioli perdio se terminaron los negocios…..
153,mario_benedetti,"Los Moyano están mas sucios que el Riachuelo, lo saben y están más que nerviosos."
154,eredece,"A Cristina la procesan para distraer el pedido de detención de Moyano, para que la gente no le preste atención a la condena de De Vido, para distraer por lo de Boudou, etc, etc,....."
155,gguasoncito1,Y TAMPOCO SE SUPO MAS NADA DE LOS PIBES ABUSADOS SEXUALMENTE EN IDEPENDIENTE.....DE GOLPE DESAPARECIO LA NOTICA DE TODOS LOS MEDIOS................
156,eredece,@gguasoncito1 Alguién puso la torta
157,SuperAcido,"La denuncia la hizo Bebote Álvarez por asociación ilícita.
Es sabido que es ultra macrista."
158,gguasoncito1,@SuperAcido Y ESO NO LO HACE LADRON? Y PORQUE NORAY NAKIS ESTA CON PRISION DOMICILIARIA....Y EL HIJO NO....SI LO ACUSO LA MISMA PERSONA.....ESA ES TODA TU DEFENSA?......IGUAL ESTA PRESO POR MAS MACRISTA QUE SEA.......
159,SuperAcido,"Cero en sarcasmo.
Vuelva a Facebook y no moleste por acá."
160,gguasoncito1,@SuperAcido SEA MAS CLARO ENTONCES.....Y NO DIVAGUE...NO TENGO CUENTA EN FACEBOOK
161,SuperAcido,"El sarcasmo y la ironía no necesitan ser explicados ni aclarados
Si no está a la altura no critique, corre el riesgo de quedar como está quedando en este instante."
162,fper7709,Hoy es sabado. El lunes esta detenido
163,DrTarugo,"@fper7709  El lunes es feriado, la justicia no trabaja, (bah, los otros dias tampoco)"
164,gguasoncito1,@DrTarugo @fper7709 esta en el exterior representando a la Argentina en un congreso
165,DrTarugo,"@gguasoncito1 @DrTarugo @fper7709  ¿Congreso de chantas, pungas y ladrones?"
166,gguasoncito1,@DrTarugo @gguasoncito1 @fper7709 COYECTO
167,critico2010,@fper7709 Dios te oiga
168,Olimpio11,"Para que lo entiendas mejor Moyano: decime un sindicato en el mundo cuyo jefe sindical sea tambien presidente de un club de futbol y sus hijos responsables de las barras bravas, nada menos. No lo hay Moyano, no lo hay. Y sabes porque ? Porque es una aberracion desde el principio. Por ejemplo: Imaginate que la CGT ( Confederacion General de Trabajadores ) española decide postularse para la presidencia del Atletico de Madrid, similar a Independiente en categoria y jerarquía de cub. No sería posible. Sabes por que ? Porque los afiliados seguidores del Real Madrid, se darían todos de baja del sindicato. Y la sociedad se preguntaria que carajo hace un sindicato gestionando un club de futbol. Lo entendes así ? Comprendes porque uno cae en la tentacion de pensar que solo lo usan para ""lavar fondos injustificables"" a la AFIP ? Por cierto, Facundo y Pablo, tienen algun titulo que los capacite para la gestion de entidades deportivas ?"
169,jmarti4,excelente tu comentario. pero dudo mucho q los moyanos puedan leer tantas letras!
170,juanalacuerda,El moyanaje debe ser de Balcarce. Están más sucios que una papa.
171,gguasoncito1,"pucha che, que suerte que tienen los ex k....no tienen un solo corrupto......."
172,etacarinae88,@gguasoncito1 🤣🤣🤣😂😂😂🤣🤣🤣
173,sii1,Papi cuidando nene!
174,Yapita," Disparate?   Explicámelo!!!!
La UIF apuntó a los Moyano por una cuenta en el exterior con más de 30  millones de dólares
Se supo que el Club Atlético Independiente posee dos cuentas en el exterior en las que, según un informe de la Unidad de Información Financiera (UIF), habría recibido más de 30 millones de dólares. Están en el Bedura Bank del Principado de Liechtenstein, un paraíso fiscal. Pero los Moyano le ocultaron la existencia de esas cuentas a los socios e hinchas del club. "
175,Olimpio11,"@Yapita Si lo que Ud afirma es verdad, me acaba de alegrar el día. Gracias ! Solo los ciegos, y hasta ahora la falta de pruebas, no pueden ver que utilizan Independiente para lavar guita negra."
176,nacionalista85,"Y bueno, yo no sé si tiene razón o no....habría que leer el expediente pero, en este contexto de crisis social, los camioneros van a parar totalmente el país."
177,MabelZunino,"El mayor disparate es que moyano padre y madre no estén presos.
Mafiosos ladrones de la plata de los trabajadores."
178,RJArias,"Conducta mafiosa,quien sopló para que Pablito se fuera del país justo teniendo pedido de detención?"
179,DrTarugo,"De la cuenta en Suiza de este.................sujeto de la que se hablo en época de la equina, ¿no se sabe mas nada?"
180,Italiener67,Si tiene mas datos denuncie ....o es solo hablar sin saber
181,DrTarugo,"@Italiener67  No caballero, no hablo sin saber, la denuncia fue hecha, Le recomiendo entre otras una lectura sobre el episodio de 2011. Saludos

https://www.infobae.com/2011/03/20/570707-documento-completo-suiza-solicitar-informacion-moyano/"
182,DrTarugo,"@Italiener67  Y si googlea ""cuenta de Moyano en suiza"" en la pagina 3 hay mas información"
