,cantidad,keyword,toxicity
804,2,Fede Bal,0.28936837358333334
412,2,Victoria Donda,0.37819220804172426
415,2,Desigualdad de género en Argentina,0.3236115873980263
806,2,Inter,0.22261565225263158
420,2,Carolina Molinari,0.20651013461201922
427,2,Ramiro Bueno,0.2627402146910714
808,2,Wanda Nara,0.2554550125526316
431,2,Ulises Bueno,0.1581762310125
927,2,Corrientes,0.1508041808214286
926,2,Pablo Tonelli,0.287335970754902
812,2,Delfina Pignatiello,0.19488374149999999
439,2,Ariel Holan,0.22288348636393443
591,2,interpol,0.5325585375
589,2,Angela Merkel,0.5005350550000001
444,2,Gremio de Porto Alegre,0.12510279705681818
446,2,G7,0.2587511304333333
602,2,industria Argentina,0.07248044249999999
714,2,Xi Jinping,0.3205111352024887
134,2,Magnolia,0.21861942263461537
54,2,Ramiro Ponce de León,0.2317316986208333
180,2,Adepa,0.5616074531575342
62,2,Anamá Ferreira,0.198072887
181,2,Alfredo Cornejo,0.569367994710145
182,2,Mendoza,0.470910535
57,2,Mariana Brey,0.1895189721958333
55,2,Ángel de Brito,0.3050382253333333
53,2,Poliamor,0.2317316986208333
211,2,Siria,0.3356684235606061
191,2,La Voz Argentina,0.28628739559331656
42,2,Accidente de tránsito,0.30094683921515153
34,2,Máximo Kirchner,0.30847678995475447
29,2,Alejandro Finocchiaro,0.2728771209839606
23,2,supermercados,0.20651462694999995
19,2,Superclásico,0.28654507505720717
1108,2,Claudio Bonadio,0.2916062040131233
69,2,Irán,0.2975922540476191
174,2,Mariano Borinsky,0.1238283705
78,2,Nacional de Uruguay,0.2631672433653846
87,2,Club Atlético Huracán,0.27891692791666667
94,2,Luis Caputo,0.2799729879689692
155,2,Cruzeiro,0.20084102391393444
154,2,Conmebol,0.19236949896739136
153,2,boca,0.2332569398181818
151,2,Jared Kushner,0.3424372575
143,2,Conflicto Israel Palestina,0.41832700522727273
139,2,El Ángel,0.24498781496505379
112,2,Sol Pérez,0.34857884932058825
137,2,Paulo Dybala,0.23147507147891228
121,2,Federico Sturzenegger,0.26143143240459166
1069,2,Turquía,0.331987764494709
133,2,China Suárez,0.1871682509076923
210,2,Premio Nobel,0.08505301083333333
125,2,Elecciones 2019,0.32378854662836437
1071,2,Escuela,0.3193334185125322
216,2,Club Atlético Lanús,0.11695100111111109
227,2,Fondo Monetario Internacional,0.34787101451362784
14,2,Gonzalo Martínez,0.16855403914285716
740,1,Aborto,0.37955369051898774
848,1,manteros,0.3326278429821428
1164,1,Patricio Contreras,0.4251348
1200,1,Carla Quevedo,0.344258378
842,1,Consumo gas,0.11632109799999998
1163,1,Fuerte Apache,0.4251348
844,1,Psicología,0.2091203385625
1162,1,Baltazar Murillo,0.4251348
846,1,Flores,0.3326278429821428
847,1,Gobierno de la Ciudad,0.3326278429821428
849,1,Policía de la Ciudad,0.3326278429821428
1161,1,Alberto Ajaka,0.4251348
850,1,Senegaleses,0.3326278429821428
1160,1,Adrián Caetano,0.4251348
1159,1,Mi hermano es un clon,0.21379078678571425
1158,1,turbulencia,0.2772878940952381
854,1,Carna,0.06446441166666667
855,1,Diego Pérez,0.06446441166666667
856,1,Fabio Cuggini,0.06446441166666667
1157,1,Pilotos,0.2772878940952381
721,1,Ángel Cappa,0.4108990475
720,1,Roberto Abbondanzieri,0.21564038666666666
840,1,Matías Defederico,0.2633795604615385
839,1,Cinthia Fernández,0.2633795604615385
858,1,Benajmin Netanyahu,0.33433073333333335
838,1,Joan Manuel Serrat,0.2568008155909091
1172,1,Emiratos Árabes Unidos,0.18033267
1171,1,autoridad palestina,0.4000436890909091
824,1,Salud reproductiva,0.196967075
724,1,petroleras,0.24258119198952874
825,1,salud sexual,0.196967075
826,1,Inmobiliarias,0.24073140138671875
723,1,devaluación,0.24258119198952874
828,1,Caballito,0.2138225921969697
829,1,choque múltiple,0.2138225921969697
830,1,Subte,0.2138225921969697
1170,1,Aurora,0.4000436890909091
1169,1,Video,0.28393992864705875
1168,1,Luis Miguel,0.28393992864705875
1167,1,Vanesa González,0.4251348
1166,1,Sofía Gala,0.4251348
831,1,accidente,0.19955318830188676
832,1,Autopista Buenos Aires-La Plata,0.19955318830188676
833,1,Choque,0.19955318830188676
834,1,Cementerio de Darwin,0.16947877258000002
835,1,Familiares de Malvinas,0.16947877258000002
836,1,Soldados identificados de Malvinas,0.16947877258000002
837,1,Pablo Melillo,0.103766021725
1165,1,serie Carlos Tevez,0.4251348
1156,1,Porsche,0.2958570572777777
859,1,Franja de Gaza,0.33433073333333335
1201,1,Crímenes imposibles,0.344258378
