,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity,caracteres,caracteresSE
4036,False,20:30 25/09/2018,,52,1.0,"Mauri, que paso? El salon estaba mas vacio que la casa de Hitler en su cumpleaños!!! Ninguna delegación importante fue a tu discurso? La de tu amigo Trump? ",https://www.lanacion.com.ar/2175513-en-onu-macri-dijo-denunciara-al-regimen,gargamelx,Rafael Mathus Ruiz,Política,"En la ONU, Macri dijo que denunciará al régimen de Maduro ante la Corte de La Haya",0.31431293,0.25994292,156,128
52605,False,00:30 19/10/2018,3.0,722,0.0,En Alemania los empresarios no son tantos y son de muchas generaciones algo asì como capas geologicas de acumulaciòn de capital..en cambio en Argentina la mayoria son aventureros y advenedizos que se dicen empresarios..Pongo un ejemplo concreto Manzano ministro del interior de Menem decìa sin ponerse colorado ROBO PARA LA CORONA...Ahora es dueño de petroleras medios y que se yo que màs y aparece con un traje en la Union Industrial y todos les rinden pleitesìa cuando en realidad tendrìa que estar preso..Esa es la matriz empresaria de gran parte de los argentos de Argenzuela,https://www.lanacion.com.ar/2183107-autocritica-del-empresariado-imagen-piso-si-te,hmarino,Darío Palavecino,Economía,"Autocrítica del empresariado, con la imagen por el piso: ""Si te pusieron un 2, ponete a estudiar""",0.35710558,0.25872567,579,485
5140,False,21:52 27/09/2018,2.0,92,4.0,"Boca en los escritorios...siempre el mismo B.... Juniors. Es obvio que el árbitro paraguayo jugó para ellos. Igual que los de acá. El jugador no cometió foul. Fue una jugada totalmente casual, en la que el arquero salió como el o...y se lesionó solo. Aprendan a ganar y perder en la cancha.",https://www.lanacion.com.ar/2176288-los-argumentos-boca-conmebol-le-mantenga-tarjeta,horasas,Alejandro Casar González,Deportes,Los argumentos de Boca para que la Conmebol le mantenga la tarjeta roja al brasileño Dedé,0.24461603,0.25112080000000003,290,239
61043,False,14:59 22/10/2018,1.0,824,0.0,"No entiendo, el novio de Fandiño que se la pasa profesando el comunismo y cantando a favor de los pobres vive en New york? Es como uno que se hace llamar Indio y se la pasa arriba del avión privado mientras mueren jóvenes por su culpa",https://www.lanacion.com.ar/2183800-soledad-fandino-hablo-su-vida-nueva-york,juje_delta,,Espectáculos,"Soledad Fandiño, sobre su vida en Nueva York: ""Estudié la carrera de chef""",0.28739557,0.24036399,234,189
59102,False,16:27 20/10/2018,1.0,799,0.0,"Ta que están todos entre amigos, que alguno le chifle a Pancho y que se juegue por argenzuela. La cantidad de rosarios que va a tener que mandar justifica abrir una fundición en La Matanza. De paso crea fuentes de trabajo como nunca lo hicieron",https://www.lanacion.com.ar/2183641-los-cuadernos-coimas-bonadio-pidio-detencion-inmediata,RickyL,,Política,Los cuadernos de las coimas: Bonadio ordenó la detención inmediata de la viuda de Daniel Muñoz,0.22895926,0.23842847,244,200
15788,False,16:45 01/10/2018,1.0,223,14.0,"CHILE ,,  BOLIVIA ,,PERU,, PARAGUAS  Y VARIOS PAISES MÁS Q' NO DEBERIAN EXISTIR ,, YA DEBERIAN HABER SIDO ABSORBIDOS X ARGENTINA Y BRASIL....................",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,jvrela,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.31307107,0.23485155,157,133
16499,False,12:43 01/10/2018,1.0,223,0.0,"El  INDIO     quiso   ser   ""historia"".....perdiste   como   era    sabido.   Ya   no     tienen   nunca    mas   posibilidad   alguna. Peru    les    dio   una   salida,   alli  esta  ABANDONADA.",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,spcristal,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.21449673,0.23462212,196,127
27216,False,03:03 07/10/2018,1.0,389,0.0,Por favor que no se sigan reproduciendo los bolis y paraguas. harta mantener los a ellos y su cría!,https://www.lanacion.com.ar/2179205-cuestionamientos-academia-nacional-educacion-cambios-educacion-sexual,reinadetolosa,,Sociedad,Cuestionamientos de la Academia Nacional de Educación sobre los cambios en la Educación Sexual Integral,0.28126636,0.21159934,99,81
33977,False,20:16 09/10/2018,9.0,471,1.0,Lorenzetti denunciando el personalismo autoritarios es como Hitler denunciando el antisemitismo.. todo bien pero no da,https://www.lanacion.com.ar/2180135-lorenzetti-acuso-rosenkrantz-generar-clima-tension-temor,AgustindeCandia,,Política,"Lorenzetti le contestó a Rosenkrantz: habló de ""mediocridad"" y de generar un ""clima de tensión y temor""",0.24390131,0.19863188,118,103
15779,True,17:12 01/10/2018,,223,0.0,@torno10 ANDA A HACER PETTTES A LOS BOLITAS POR 15 PESOS,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,stululakis,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.12961878,0.19863188,56,46
5127,False,23:31 27/09/2018,3.0,92,2.0,ya no saben como hacer para pasar.  Robaron con la expulsión.  Y ahora tampoco les gusta que vuelva a jugar.  Esta bien que compraron al árbitro paraguayo.  Pero a toda la conmebol no van a comprar. (espero).,https://www.lanacion.com.ar/2176288-los-argumentos-boca-conmebol-le-mantenga-tarjeta,Rob_LN,Alejandro Casar González,Deportes,Los argumentos de Boca para que la Conmebol le mantenga la tarjeta roja al brasileño Dedé,0.22691986,0.19735786,208,168
27732,True,07:15 08/10/2018,12.0,402,0.0,"@jarad48 una consiga debe recorrer hoy todo el continente. -No al fascismo de Hadad y Lula- La indolencia de los países de Europa posibilitó la llegada de Hitler al Poder en Alemania en 1943. Que parecidos son los pensamientos de ambos.

Le escribo esto para que note lo arbtrario de su comentario.",https://www.lanacion.com.ar/2179487-para-america-latina-impacto-triunfo-bolsonaro-puede,BSpinoza,Daniel Lozano,El Mundo,"Para América Latina, el impacto de un triunfo de Bolsonaro puede ser sísmico",0.2781922,0.18907061,304,254
