,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity,caracteres,caracteresSE
25411,True,18:44 06/10/2018,2.0,367,0.0,@Mrce44 @nesfer24 @Italiener67 Ja!Ja!Ja! Es un cimarron de la Villa 31,https://www.lanacion.com.ar/2179174-los-principales-bancos-del-mundo-confirmaron-su,nesfer24,Rafael Mathus Ruiz,Economía,"Dietrich dijo que vio ""mucho interés"" de los bancos en participar en el fideicomiso de la PPP",0.22517459,0.32094315,70,60
45016,False,21:59 15/10/2018,1.0,638,0.0,Quiénes son las bestias que traducen estos articulos? “Linfoma no relacionado con la enfermedad de hosgkin” es simplemente “linfoma no hodgkin”,https://www.lanacion.com.ar/2181980-a-65-anos-murio-paul-allen-uno,jj.r6559,,El Mundo,"A los 65 años, murió Paul Allen, uno de los fundadores de Microsoft",0.14645526,0.23953721,143,123
2313,False,00:07 25/09/2018,2.0,25,0.0,"Hay que darles martires a los cimarrones , total nadie los a a extrañar ",https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,ricardomanantial,,Política,Atacan con bombas molotov una sede de Gendarmería Nacional en Monserrat,0.31789497,0.23794824,72,58
57452,False,18:39 19/10/2018,4.0,776,0.0,"fuerza maestro ojala  mejore rápido, felicitaciones por los dos marrones que bajaron, exención impositiva a la familia, y reconocimiento en el congreso ",https://www.lanacion.com.ar/2183360-llavallol-familia-resistio-entradera-mato-dos-delincuentes,pamepamepame,,Sociedad,Llavallol: una familia resistió una entradera y mató a dos delincuentes,0.25962898,0.19857869,152,129
32132,False,17:47 08/10/2018,1.0,443,0.0,"Bolsonaro presidente de America del Sur, los cimarrones terminan en Africa Ja!Ja!Ja! ",https://www.lanacion.com.ar/2179723-confirman-procesamiento-cristina-kirchner-sus-hijos-causa,nesfer24,,Política,Confirman el procesamiento de Cristina Kirchner y sus hijos en la causa Hotesur,0.21876654,0.1935586,85,73
54580,True,19:53 18/10/2018,1.0,746,0.0,@francisconacion Tenemos que juntar guita y pagar a un Rambo para combatir a los cimarrones ,https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,nesfer24,,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,0.12938674,0.18654434,92,77
9981,False,17:59 29/09/2018,4.0,156,1.0,"Los cimarrones entraron en pànico, hay abstinencia al choreo",https://www.lanacion.com.ar/2176898-nicolas-dujovne-no-tengo-miedo-no-se,nesfer24,,Economía,"Nicolás Dujovne: ""No tengo miedo de que no se pueda controlar el dólar""",0.19862512,0.18602112,60,52
25572,False,18:02 06/10/2018,1.0,367,2.0,Un pais sin cimarrones es un pais civilizado ,https://www.lanacion.com.ar/2179174-los-principales-bancos-del-mundo-confirmaron-su,nesfer24,Rafael Mathus Ruiz,Economía,"Dietrich dijo que vio ""mucho interés"" de los bancos en participar en el fideicomiso de la PPP",0.13861498,0.15556566,45,37
24115,False,01:20 06/10/2018,5.0,351,5.0,"Los cimarrones entraron en pànico, saben que no vuelven màs! ",https://www.lanacion.com.ar/2178978-mauricio-macri-cierre-del-b20-la-transparencia,nesfer24,,Política,"Mauricio Macri, en el cierre del B20: ""La transparencia es clave para luchar contra la corrupción""",0.09199158,0.14250803,61,51
40474,True,13:23 12/10/2018,,547,0.0,PORQUE HAY GENTE Q PARA NEGOCIOS SON ABORIGENES... CON ARCO Y FLECHA,https://www.lanacion.com.ar/2181150-ley-alquileres-cuales-son-claves-del-proyecto,jxxiii,Julia D'Arrisso,Economía,Ley de alquileres: cuáles son las claves del proyecto que quiere aprobar el Gobierno,0.047269362999999995,0.09588331,68,57
