,fecha,likes,respuestas,texto,usuario,es_respuesta,seccion,titulo,url
33244,20:01 08/10/2018,,0,@mama58 es como para fusilarla en una paredon...,javier_760,True,Política,Confirman el procesamiento de Cristina Kirchner y sus hijos en la causa Hotesur,https://www.lanacion.com.ar/2179723-confirman-procesamiento-cristina-kirchner-sus-hijos-causa
33625,17:49 08/10/2018,8.0,2,"SON 200 MIL MILLONES DE DOLARES LOS SAKEADOS POR LA ASOCIACION ILICITA K ..... LOS PODRAN COLGAR, AGUILLOTINAR, FUSILAR O DARLES CADENA PERPETUA..... PERO LO QUE MAS ME IMPORTA ES QUE APAREZCA EL DINERO SAKEADO.... ",Just4Justice,False,Política,Confirman el procesamiento de Cristina Kirchner y sus hijos en la causa Hotesur,https://www.lanacion.com.ar/2179723-confirman-procesamiento-cristina-kirchner-sus-hijos-causa
34376,19:03 08/10/2018,1.0,0,Estos individuos no son recuperables. Hay que tratar la Pena de Muerte.-,sogtulakk,False,Sociedad,"Piden perpetua para quienes drogaron, violaron y mataron a su hija en Mar del Plata",https://www.lanacion.com.ar/2179744-piden-perpetua-quienes-drogaron-violaron-mataron-su
34390,22:29 08/10/2018,7.0,0,"ojalá los encuentren... en estos casos definitivamente yo estaría a favor de la pena de muerte.
Por otro lado, ya que esto es posible,  no estaría bueno tener una base de datos con el ADN de todos los argentinos? al momento de hacer el DNI del bebé, se le saca la muestra.",msegovia8,False,Sociedad,Para resolver el crimen de un niño extraen muestras de ADN a 3000 personas en un pueblo santiagueño,https://www.lanacion.com.ar/2179703-para-resolver-crimen-nino-extraen-adn-3000
36466,21:08 09/10/2018,1.0,1,"Rifle sanitario, a todos y todas.
Y todes.",el_pinguino,False,Política,"Guillermo Moreno, contra Roberto Navarro: ""Sos un idiota útil""",https://www.lanacion.com.ar/2180061-guillermo-moreno-roberto-navarro-sos-idiota-util
38140,11:46 11/10/2018,1.0,0,"@pipinarock no, en este caso ni la carcel, no me gusta la pena de muerte, no la comparto, pero este no puede seguir vivo",alexotuek,True,El Mundo,"Habló el femicida de Ecatepec: ""Voy a seguir matando mujeres""",https://www.lanacion.com.ar/2180538-hablo-femicida-ecatepec-voy-seguir-matando-mujeres
38141,23:30 10/10/2018,,0,"En la cárcel, que parezca un accidente y listo. Uno menos.",DOMINOR1,False,El Mundo,"Habló el femicida de Ecatepec: ""Voy a seguir matando mujeres""",https://www.lanacion.com.ar/2180538-hablo-femicida-ecatepec-voy-seguir-matando-mujeres
38146,22:44 10/10/2018,2.0,0,La pena de muerte vale la pena,ElJusto_NewYork,False,El Mundo,"Habló el femicida de Ecatepec: ""Voy a seguir matando mujeres""",https://www.lanacion.com.ar/2180538-hablo-femicida-ecatepec-voy-seguir-matando-mujeres
38147,22:41 10/10/2018,3.0,0,"Si no hay pena de muerte, que permanezca aislado (en una tumba por ejemplo) hasta el fin de sus días.",aportemos,False,El Mundo,"Habló el femicida de Ecatepec: ""Voy a seguir matando mujeres""",https://www.lanacion.com.ar/2180538-hablo-femicida-ecatepec-voy-seguir-matando-mujeres
38148,21:39 10/10/2018,2.0,0,es el momento de aplicar el rifle sanitario,COCORICARDO,False,El Mundo,"Habló el femicida de Ecatepec: ""Voy a seguir matando mujeres""",https://www.lanacion.com.ar/2180538-hablo-femicida-ecatepec-voy-seguir-matando-mujeres
38150,20:35 10/10/2018,5.0,0,y matenlo de una listo que tanto.,larguirucho_pepe,False,El Mundo,"Habló el femicida de Ecatepec: ""Voy a seguir matando mujeres""",https://www.lanacion.com.ar/2180538-hablo-femicida-ecatepec-voy-seguir-matando-mujeres
43840,23:53 13/10/2018,6.0,1,"Pablito, ya que estás en Singapur podrías quedarte allí para siempre. Salvo por el problema que allí aquellos que violan las leyes terminan en la cárcel casi instantáneamente, y los azotes están permitidos, lo mismo que la pena de muerte.",Maximo_Bruto,False,Política,"Pablo Moyano, desde Singapur: ""No creo que hagan el show de querer detenerme en Ezeiza""",https://www.lanacion.com.ar/2181521-pablo-moyano-singapur-no-creo-hagan-show
